mouse,disease,treatment,date,event
1,Control,Control,2021-08-19,censor
2,Control,Control,2021-08-19,censor
3,Control,Control,2021-08-19,censor
4,Control,Control,2021-08-19,censor
5,Control,Control,2021-08-19,censor
6,Control,Control,2021-08-19,censor
7,Control,Control,2021-08-19,censor
8,Control,Control,2021-08-19,censor
9,Bleo,Control,2021-08-08,died
10,Bleo,Control,2021-08-05,died
11,Bleo,Control,2021-08-17,died
12,Bleo,Control,2021-08-08,died
13,Bleo,Control,2021-08-07,died
14,Bleo,Control,2021-08-11,died
15,Bleo,Control,2021-08-09,died
16,Bleo,Control,2021-08-09,died
17,Bleo,Control,2021-08-07,died
18,Bleo,Control,2021-08-08,died
19,Bleo,VB124,2021-08-10,died
20,Bleo,VB124,2021-08-08,died
21,Bleo,VB124,2021-08-05,died
22,Bleo,VB124,2021-08-13,died
23,Bleo,VB124,2021-08-09,died
24,Bleo,VB124,2021-08-13,died
25,Bleo,VB124,2021-08-08,died
26,Bleo,VB124,2021-08-06,died
27,Bleo,AZD3965,2021-08-13,died
28,Bleo,AZD3965,2021-08-19,censor
29,Bleo,AZD3965,2021-08-10,died
30,Bleo,AZD3965,2021-08-14,died
31,Bleo,AZD3965,2021-08-17,died
32,Bleo,AZD3965,2021-08-11,died
