date,excitation,row,1,2,3,4,5,6,7,8,9,10,11,12
2024-03-30,440,1,2481519,2554102,13486898,15814263,13836450,19009674,15597908,17014616,18158870,18284238,6603369,10464702
2024-03-30,440,2,2457971,2518024,18299666,17451888,17124904,19097132,17146914,16873304,19011954,18480918,8385618,16988048
2024-03-30,440,3,2441164,2534790,17657164,18293622,14302378,20511620,15467612,16745458,18237240,15807912,8625002,18228764
2024-03-30,440,4,2430806,2469346,17698082,18848258,16149072,20432078,15468082,14955507,17516274,16527475,7351750,17114098
2024-03-30,440,5,2382782,2452928,17296638,17049206,17315176,16342165,15784864,14693686,18481782,15927412,12391450,17126812
2024-03-30,440,6,2418142,2407696,17497892,16044765,16859862,16562969,15175559,14108932,14983542,14359678,13921617,17222536
2024-03-30,440,7,2316254,2420650,17655852,15355233,16485093,16528026,14545242,14012930,18705378,14423813,10794358,20905096
2024-03-30,440,8,2434802,2369874,16859832,14751679,15557064,16330285,15572140,14858932,16761930,14732575,13173378,18130630
2024-03-30,490,1,1009793,1062286,52184704,63571480,55795108,78545352,69456256,74414320,80184312,75441960,10019214,27785160
2024-03-30,490,2,1046439,1039415,83787760,74528472,73615760,82215424,76578040,74549568,84621824,78803752,12109321,47539976
2024-03-30,490,3,1007956,1044359,77898392,78244656,57248796,87804016,67623392,76239168,81083664,66480472,12488552,50113216
2024-03-30,490,4,1013000,1005399,77155840,81715280,65602056,81472376,70208528,66390052,77562128,69750376,10874877,47270336
2024-03-30,490,5,984045,994648,76140632,74007032,75680904,63446964,70691896,64810212,80346992,65625452,21090506,84030880
2024-03-30,490,6,998364,987091,75456640,66917968,74047544,71827792,64568620,62464060,65038864,60039272,24429360,85345864
2024-03-30,490,7,972402,987829,77571936,66699848,70593440,69602760,63862136,63674348,79816648,59330980,19093620,100449560
2024-03-30,490,8,1021267,983089,77039992,62976848,64948188,69787144,68590064,67709184,71883176,59946916,23162524,87608032
2024-04-12,440,1,2416009,2436766,8792097,9449126,5067735,10926472,9722516,9385840,9758350,8125976,5846357,4047973
2024-04-12,440,2,2448154,2487312,2715328,5445172,9698463,8949302,10361296,12254544,11989981,10507020,5654800,595046
2024-04-12,440,3,2413486,2469708,9933832,10766347,11545289,9353163,10405549,11557741,11175451,10512923,7657208,551965
2024-04-12,440,4,2465183,2529541,10855720,11135940,11377557,10454388,9950758,11902533,12140361,10889850,6603212,555036
2024-04-12,440,5,2414840,2570816,10406316,11194446,9935828,9943354,10647158,11712230,12558733,10690534,696411,577008
2024-04-12,440,6,2406866,2432650,10326226,10289328,10577919,9989501,10772786,11910375,12307374,10218145,10224526,579154
2024-04-12,440,7,2344379,2425593,9626881,10216592,9562394,8737265,10069949,12482254,12249728,11849750,7795776,559433
2024-04-12,440,8,2428930,2417849,7758886,9402444,9549604,9900114,10309362,11547341,10929363,2881620,923978,528345
2024-04-12,490,1,982065,998171,31591332,37239796,14600516,41501276,40846060,39135760,36994612,26761168,7855663,10275868
