experiment,batch,trial,condition,treatment,dose,protein,background,density
diclofenac,2,1,control,DMSO,,sma,141898396,164880
diclofenac,2,1,tgfb,DMSO,,sma,189108624,10693845
diclofenac,2,1,control,diclofenac,,sma,84410626,26010
diclofenac,2,1,tgfb,diclofenac,,sma,182710948,422865
diclofenac,2,1,control,ketoprofen,,sma,168865574,75510
diclofenac,2,1,tgfb,ketoprofen,,sma,144539916,1133955
diclofenac,2,1,control,salicylate,,sma,158760158,96705
diclofenac,2,1,tgfb,salicylate,,sma,244789694,4292550
diclofenac,2,2,control,DMSO,,sma,129321010,35640
diclofenac,2,2,tgfb,DMSO,,sma,371061418,610020
diclofenac,2,2,control,diclofenac,,sma,41110524,19485
diclofenac,2,2,tgfb,diclofenac,,sma,143345566,220815
diclofenac,2,2,control,ketoprofen,,sma,81589508,25380
diclofenac,2,2,tgfb,ketoprofen,,sma,106084342,31860
diclofenac,2,2,control,salicylate,,sma,129585638,35955
diclofenac,2,2,tgfb,salicylate,,sma,167441820,75825
diclofenac,2,4,control,DMSO,,sma,135768381,133940543
diclofenac,2,4,tgfb,DMSO,,sma,176093760,286772599
diclofenac,2,4,control,diclofenac,,sma,147335685,4991799
diclofenac,2,4,tgfb,diclofenac,,sma,190487046,1410895
diclofenac,2,4,control,ketoprofen,,sma,166749930,108851590
diclofenac,2,4,tgfb,ketoprofen,,sma,180240870,143109641
diclofenac,2,4,control,salicylate,,sma,197853963,54637927
diclofenac,2,4,tgfb,salicylate,,sma,193514277,154076250
diclofenac,2,3,control,DMSO,,sma,192008520,150160101
diclofenac,2,3,tgfb,DMSO,,sma,279579960,208602981
diclofenac,2,3,control,diclofenac,,sma,180120780,47166420
diclofenac,2,3,tgfb,diclofenac,,sma,218224800,14937558
diclofenac,2,3,control,ketoprofen,,sma,213509160,47108043
diclofenac,2,3,tgfb,ketoprofen,,sma,186034500,103218039
diclofenac,2,3,control,salicylate,,sma,223898220,78695307
diclofenac,2,3,tgfb,salicylate,,sma,203170320,50182626
diclofenac,1,1,control,DMSO,,sma,71835104,34178
diclofenac,1,1,tgfb,DMSO,,sma,49618390,9746710
diclofenac,1,1,control,diclofenac,,sma,35410786,32890
diclofenac,1,1,tgfb,diclofenac,,sma,49307424,47150
diclofenac,1,1,control,ketoprofen,,sma,46872384,52302
diclofenac,1,1,tgfb,ketoprofen,,sma,40552672,823262
diclofenac,1,1,control,salicylate,,sma,33047124,11500
diclofenac,1,1,tgfb,salicylate,,sma,46632796,677764
diclofenac,1,2,tgfb,DMSO,,sma,14067400,479964
diclofenac,1,2,control,DMSO,,sma,11567680,45218
diclofenac,1,2,tgfb,diclofenac,,sma,8922180,49634
diclofenac,1,2,control,diclofenac,,sma,13880180,33994
diclofenac,1,2,tgfb,ketoprofen,,sma,9710280,35052
diclofenac,1,2,control,ketoprofen,,sma,8639500,33258
diclofenac,1,2,tgfb,salicylate,,sma,12295470,128570
diclofenac,1,2,control,salicylate,,sma,12067920,49588
diclofenac,1,5,control,DMSO,,sma,11713536,37788
diclofenac,1,5,tgfb,DMSO,,sma,9382398,1444498
diclofenac,1,5,control,diclofenac,,sma,13628034,20727
diclofenac,1,5,tgfb,diclofenac,,sma,7087530,20069
diclofenac,1,5,control,ketoprofen,,sma,7832832,42911
diclofenac,1,5,tgfb,ketoprofen,,sma,10222188,112612
diclofenac,1,5,control,salicylate,,sma,7943502,21150
diclofenac,1,5,tgfb,salicylate,,sma,11390826,61147
sirna,1,2,control,siCTL,,sma,191396832,49648680
sirna,1,2,tgfb,siCTL,,sma,174997680,1126990980
sirna,1,2,control,siMCT1,,sma,110440528,2174040
sirna,1,2,tgfb,siMCT1,,sma,170059824,78532740
sirna,1,2,control,siMCT4,,sma,206511184,1423620
sirna,1,2,tgfb,siMCT4,,sma,133042800,382556160
sirna,1,2,control,siMCT1/4,,sma,119881520,600300
sirna,1,2,tgfb,siMCT1/4,,sma,128184496,55032840
sirna,1,3,control,siCTL,,sma,137912559,41838150
sirna,1,3,tgfb,siCTL,,sma,151538904,1364117541
sirna,1,3,control,siMCT1,,sma,203401143,31455085
sirna,1,3,tgfb,siMCT1,,sma,149678280,43055194
sirna,1,3,control,siMCT4,,sma,234736515,768164
sirna,1,3,tgfb,siMCT4,,sma,154132839,485389510
sirna,1,3,control,siMCT1/4,,sma,118605222,851967
sirna,1,3,tgfb,siMCT1/4,,sma,136301859,71319611
sirna,1,5,control,siCTL,,sma,145737410,111195180
sirna,1,5,tgfb,siCTL,,sma,200390372,2101838220
sirna,1,5,control,siMCT1,,sma,126277424,51424920
sirna,1,5,tgfb,siMCT1,,sma,157531920,20966940
sirna,1,5,control,siMCT4,,sma,333799284,619740
sirna,1,5,tgfb,siMCT4,,sma,183861132,197355420
sirna,1,5,control,siMCT1/4,,sma,257820472,1065060
sirna,1,5,tgfb,siMCT1/4,,sma,137613658,35510580
sirna,1,6,control,siCTL,,sma,99429480,2026024
sirna,1,6,tgfb,siCTL,,sma,111802680,612785992
sirna,1,6,control,siMCT1,,sma,92665620,420238
sirna,1,6,tgfb,siMCT1,,sma,81466380,20007624
sirna,1,6,control,siMCT4,,sma,95645700,201656
sirna,1,6,tgfb,siMCT4,,sma,106017480,1754116
sirna,1,6,control,siMCT1/4,,sma,66640140,480480
sirna,1,6,tgfb,siMCT1/4,,sma,127861020,207378990
sirna,1,3,control,siCTL,,mct1,126048825,433305
sirna,1,3,control,siMCT1,,mct1,169313900,150840
sirna,1,3,control,siMCT4,,mct1,117852000,366750
sirna,1,3,control,siMCT1/4,,mct1,149299850,241380
sirna,1,3,tgfb,siCTL,,mct1,148611400,232965
sirna,1,3,tgfb,siMCT1,,mct1,121399075,106650
sirna,1,3,tgfb,siMCT4,,mct1,138890150,495135
sirna,1,3,tgfb,siMCT1/4,,mct1,174074775,679680
sirna,1,3,control,siCTL,,mct4,200053440,212590872
sirna,1,3,control,siMCT1,,mct4,193560840,65243412
sirna,1,3,control,siMCT4,,mct4,198049860,1160328
sirna,1,3,control,siMCT1/4,,mct4,161995860,399672
sirna,1,3,tgfb,siMCT1/4,,mct4,177141780,309660
sirna,1,3,tgfb,siMCT4,,mct4,121999500,418860
sirna,1,3,tgfb,siMCT1,,mct4,227051820,13685100
sirna,1,3,tgfb,siCTL,,mct4,223306740,419731728
sirna,1,4,control,siCTL,,mct1,158421060,185152
sirna,1,4,control,siMCT1,,mct1,269594280,58212
sirna,1,4,control,siMCT4,,mct1,209261700,160160
sirna,1,4,control,siMCT1/4,,mct1,281655720,34364
sirna,1,4,tgfb,siCTL,,mct1,210224520,75724
sirna,1,4,tgfb,siMCT1,,mct1,138897360,37532
sirna,1,4,tgfb,siMCT4,,mct1,198028620,70884
sirna,1,4,tgfb,siMCT1/4,,mct1,230001120,35552
sirna,1,4,control,siCTL,,mct4,114304554,360875712
sirna,1,4,control,siMCT1,,mct4,112882770,290784030
sirna,1,4,control,siMCT4,,mct4,140299614,337404
sirna,1,4,control,siMCT1/4,,mct4,114814154,440076
sirna,1,4,tgfb,siCTL,,mct4,99829002,470876856
sirna,1,4,tgfb,siMCT1,,mct4,170612624,39050886
sirna,1,4,tgfb,siMCT4,,mct4,144693276,394692
sirna,1,4,tgfb,siMCT1/4,,mct4,178724546,445842
sirna,1,5,control,siCTL,,mct1,570973448,181035
