experiment,well,type,condition,treatment,time,value
2023-11-17,A1,blank,,,,6.5
2023-11-17,A2,sample,control,DMSO,1,4315.2
2023-11-17,A3,sample,control,DMSO,1,4252.7
2023-11-17,A4,sample,control,DMSO,1,4019.3
2023-11-17,A5,sample,control,DMSO,1,4200.7
2023-11-17,A2,sample,control,DMSO,3,4315.2
2023-11-17,A3,sample,control,DMSO,3,4252.7
2023-11-17,A4,sample,control,DMSO,3,4019.3
2023-11-17,A5,sample,control,DMSO,3,4200.7
2023-11-17,B1,sample,tgfb,DMSO,1,3851
2023-11-17,B2,sample,tgfb,DMSO,1,3087.7
2023-11-17,B3,sample,tgfb,DMSO,1,3153.8
2023-11-17,B4,sample,tgfb,DMSO,1,3112.7
2023-11-17,B5,sample,tgfb,DMSO,3,4352.7
2023-11-17,B6,sample,tgfb,DMSO,3,4070.3
2023-11-17,B7,sample,tgfb,DMSO,3,3758.1
2023-11-17,B8,sample,tgfb,DMSO,3,3875.5
2023-11-17,C1,sample,tgfb,AZD,1,3221.4
2023-11-17,C2,sample,tgfb,AZD,1,3308
2023-11-17,C3,sample,tgfb,AZD,1,2918
2023-11-17,C4,sample,tgfb,AZD,1,3026
2023-11-17,C5,sample,tgfb,AZD,3,3478.4
2023-11-17,C6,sample,tgfb,AZD,3,3717.6
2023-11-17,C7,sample,tgfb,AZD,3,3570.3
2023-11-17,C8,sample,tgfb,AZD,3,3310.4
2023-11-17,D1,sample,tgfb,VB,1,2960.3
2023-11-17,D2,sample,tgfb,VB,1,2864.3
2023-11-17,D3,sample,tgfb,VB,1,2878.8
2023-11-17,D4,sample,tgfb,VB,1,3015.8
2023-11-17,D5,sample,tgfb,VB,3,3571.9
2023-11-17,D6,sample,tgfb,VB,3,3237.8
2023-11-17,D7,sample,tgfb,VB,3,3247.8
2023-11-17,D8,sample,tgfb,VB,3,3624.1
2023-11-17,E1,sample,tgfb,Dual,1,3147.8
2023-11-17,E2,sample,tgfb,Dual,1,3090.3
2023-11-17,E3,sample,tgfb,Dual,1,3017.4
2023-11-17,E4,sample,tgfb,Dual,1,2994.2
2023-11-17,E5,sample,tgfb,Dual,3,3081.8
2023-11-17,E6,sample,tgfb,Dual,3,3299.5
2023-11-17,E7,sample,tgfb,Dual,3,3070.9
2023-11-17,E8,sample,tgfb,Dual,3,2941.1
2023-12-14,A1,blank,,,,11.7
2023-12-14,A2,sample,control,DMSO,1,33985.2
2023-12-14,A3,sample,control,DMSO,1,34093.4
2023-12-14,A4,sample,control,DMSO,1,32594.3
