experiment,batch,trial,condition,treatment,replicate,d0,d1,d2
dual,1,1,control,DMSO,a,184.030257,99.539476,81.820095
dual,1,1,control,AZD3965,a,184.030257,,
dual,1,1,control,VB124,a,184.030257,90.458293,71.733678
dual,1,1,control,AZD/VB,a,184.030257,79.826664,51.918639
dual,1,1,tgfb,AZD/VB,a,184.030257,64.254054,62.277662
dual,1,1,tgfb,DMSO,a,184.030257,69.859512,64.254054
dual,1,1,tgfb,VB124,a,184.030257,90.458293,75.771652
dual,1,1,tgfb,AZD3965,a,184.030257,88.362636,71.733678
dual,2,1,tgfb,DMSO,a,184.030257,139.834031,111.414869
dual,2,1,tgfb,DMSO,b,184.030257,131.741044,111.414869
dual,2,1,tgfb,DMSO,c,184.030257,124.022890,106.610191
dual,2,1,control,DMSO,a,184.030257,156.786708,134.501178
dual,2,1,control,DMSO,b,184.030257,168.593949,148.284812
dual,2,1,control,DMSO,c,184.030257,156.786708,148.284812
dual,2,1,tgfb,AZD3965,a,184.030257,131.741044,104.241927
dual,2,1,tgfb,AZD3965,b,184.030257,131.741044,104.241927
dual,2,1,tgfb,AZD3965,c,184.030257,131.741044,108.893265
dual,2,1,control,AZD3965,a,184.030257,151.096060,139.834031
dual,2,1,control,AZD3965,b,184.030257,151.096060,131.741044
dual,2,1,control,AZD3965,c,184.030257,162.664772,145.422451
dual,2,1,tgfb,VB124,a,184.030257,137.261313,121.347945
dual,2,1,tgfb,VB124,b,184.030257,137.261313,118.860417
dual,2,1,tgfb,VB124,c,184.030257,137.261313,116.441040
dual,2,1,control,VB124,a,184.030257,168.593949,145.422451
dual,2,1,control,VB124,b,184.030257,156.786708,134.501178
dual,2,1,control,VB124,c,184.030257,151.096060,139.834031
dual,2,1,tgfb,AZD/VB,a,184.030257,139.834031,118.860417
dual,2,1,tgfb,AZD/VB,b,184.030257,139.834031,118.860417
dual,2,1,tgfb,AZD/VB,c,184.030257,139.834031,108.893265
dual,2,1,control,AZD/VB,a,184.030257,159.700183,137.261313
dual,2,1,control,AZD/VB,b,184.030257,159.700183,137.261313
dual,2,2,control,DMSO,a,184.030257,145.422451,111.414869
dual,2,2,control,DMSO,b,184.030257,145.422451,111.414869
dual,2,2,control,DMSO,c,184.030257,137.261313,124.022890
dual,2,2,tgfb,DMSO,a,184.030257,99.539476,97.188250
dual,2,2,tgfb,DMSO,b,184.030257,97.188250,84.069093
dual,2,2,tgfb,DMSO,c,184.030257,106.610191,95.024441
dual,2,2,control,AZD3965,a,184.030257,126.476343,116.441040
dual,2,2,control,AZD3965,b,184.030257,142.662316,106.610191
dual,2,2,control,AZD3965,c,184.030257,142.662316,116.441040
dual,2,2,tgfb,AZD3965,a,184.030257,108.893265,84.069093
dual,2,2,tgfb,AZD3965,b,184.030257,108.893265,97.188250
dual,2,2,tgfb,AZD3965,c,184.030257,104.241927,84.069093
dual,2,2,control,VB124,a,184.030257,116.441040,121.347945
dual,2,2,control,VB124,b,184.030257,121.347945,104.241927
dual,2,2,control,VB124,c,184.030257,121.347945,104.241927
dual,2,2,tgfb,VB124,a,184.030257,92.741367,86.181789
dual,2,2,tgfb,VB124,b,184.030257,104.241927,95.024441
dual,2,2,tgfb,VB124,c,184.030257,104.241927,95.024441
dual,2,2,control,AZD/VB,a,184.030257,139.834031,108.893265
dual,2,2,control,AZD/VB,b,184.030257,139.834031,108.893265
dual,2,2,control,AZD/VB,c,184.030257,139.834031,108.893265
dual,2,2,tgfb,AZD/VB,a,184.030257,108.893265,92.741367
dual,2,2,tgfb,AZD/VB,b,184.030257,126.476343,104.241927
dual,2,2,tgfb,AZD/VB,c,184.030257,126.476343,104.241927
