experiment,assay,batch,trial,condition,treatment,well,conc,a,b,c
dual,1,,,,,,0,0.0368,0.0351,
dual,1,,,,,,2.5,0.1617,0.1559,
dual,1,,,,,,5,0.3008,0.2927,
dual,1,,,,,,7.5,0.449,0.4307,
dual,1,,,,,,10,0.5923,0.5655,
dual,1,,,,,,15,0.8772,0.8373,
dual,1,,,,,,20,1.1142,1.1533,
dual,1,,,,,,25,1.396,1.4392,
dual,1,1,5,control,DMSO,a,,0.7238,,
dual,1,1,5,control,AZD3965,a,,0.7282,,
dual,1,1,5,control,VB124,a,,0.7638,,
dual,1,1,5,control,AZD/VB,a,,0.808,,
dual,1,1,5,tgfb,DMSO,a,,0.6516,,
dual,1,1,5,tgfb,AZD3965,a,,0.6053,,
dual,1,1,5,tgfb,VB124,a,,0.6681,,
dual,1,1,5,tgfb,AZD/VB,a,,0.787,,
dual,1,1,7,control,DMSO,a,,0.8466,,
dual,1,1,7,control,AZD3965,a,,0.7191,,
dual,1,1,7,control,VB124,a,,0.7959,,
dual,1,1,7,control,AZD/VB,a,,0.8333,,
dual,1,1,7,tgfb,DMSO,a,,0.6665,,
dual,1,1,7,tgfb,AZD3965,a,,0.6753,,
dual,1,1,7,tgfb,VB124,a,,0.7792,,
dual,1,1,7,tgfb,AZD/VB,a,,0.8024,,
dual,1,1,8,control,DMSO,a,,0.8021,,
dual,1,1,8,control,AZD3965,a,,0.7941,,
dual,1,1,8,control,VB124,a,,0.7636,,
dual,1,1,8,control,AZD/VB,a,,0.8872,,
dual,1,1,8,tgfb,DMSO,a,,0.7005,,
dual,1,1,8,tgfb,AZD3965,a,,0.6664,,
dual,1,1,8,tgfb,VB124,a,,0.6448,,
dual,1,1,8,tgfb,AZD/VB,a,,0.8663,,
dual,1,1,9,control,DMSO,a,,0.8212,,
dual,1,1,9,control,AZD3965,a,,0.7827,,
dual,1,1,9,control,VB124,a,,0.5943,,
dual,1,1,9,control,AZD/VB,a,,0.823,,
dual,1,1,9,tgfb,DMSO,a,,0.625,,
dual,1,1,9,tgfb,AZD3965,a,,0.709,,
dual,1,1,9,tgfb,VB124,a,,0.5855,,
dual,1,1,9,tgfb,AZD/VB,a,,0.7788,,
dual,1,1,11,control,DMSO,a,,0.8041,,
dual,1,1,11,control,AZD3965,a,,0.7263,,
dual,1,1,11,control,VB124,a,,0.8606,,
dual,1,1,11,control,AZD/VB,a,,0.8333,,
dual,1,1,11,tgfb,DMSO,a,,0.6624,,
dual,1,1,11,tgfb,AZD3965,a,,0.7231,,
dual,1,1,11,tgfb,VB124,a,,0.6827,,
dual,1,1,11,tgfb,AZD/VB,a,,0.812,,
