experiment,assay,batch,trial,condition,treatment,well,conc,a,b,c
diclofenac,1,,,,,,0,395.438,399.118,405.947
diclofenac,1,,,,,,25,539.365,547.735,537.016
diclofenac,1,,,,,,50,667.347,675.881,686.906
diclofenac,1,,,,,,100,955.843,969.411,971.382
diclofenac,1,,,,,,200,1606.945,1612.149,1646.114
diclofenac,1,,,,,,400,3052.232,3047.442,3116.598
diclofenac,1,,,,,,600,4678.049,4763.8,4819.118
diclofenac,1,,,,,,1000,8203.565,8213.98,8235
diclofenac,1,1,1,control,DMSO,a,,1717.264,1714.846,1690.299
diclofenac,1,1,1,control,DMSO,b,,1465.51,1463.998,1444.154
diclofenac,1,1,1,control,DMSO,c,,1563.868,1536.381,1519.534
diclofenac,1,1,1,control,diclofenac,a,,960.826,933.776,928.022
diclofenac,1,1,1,control,diclofenac,b,,850.376,878.694,844.653
diclofenac,1,1,1,control,diclofenac,c,,907.631,890.495,876.65
diclofenac,1,1,1,control,ketoprofen,a,,1681.726,1756.454,1693.057
diclofenac,1,1,1,control,ketoprofen,b,,1414.224,1365.52,1356.419
diclofenac,1,1,1,control,ketoprofen,c,,1772.209,1905.409,1700.052
diclofenac,1,1,1,control,salicylate,a,,1402.6,1499.334,1443.065
diclofenac,1,1,1,control,salicylate,b,,1244.381,1320.642,1294.155
diclofenac,1,1,1,control,salicylate,c,,1500.199,1543.294,1478.477
diclofenac,1,1,1,tgfb,DMSO,a,,3557.416,3624.911,3492.278
diclofenac,1,1,1,tgfb,DMSO,b,,3034.632,2934.092,2961.611
diclofenac,1,1,1,tgfb,DMSO,c,,3421.158,3374.137,3409.4
diclofenac,1,1,1,tgfb,diclofenac,a,,1133.138,1136.503,1105.013
diclofenac,1,1,1,tgfb,diclofenac,b,,1084.977,1017.106,1011.784
diclofenac,1,1,1,tgfb,diclofenac,c,,1178.395,1149.128,1157.147
diclofenac,1,1,1,tgfb,ketoprofen,a,,2715.089,2731.679,2533.318
diclofenac,1,1,1,tgfb,ketoprofen,b,,2232.53,2319.699,2141.499
diclofenac,1,1,1,tgfb,ketoprofen,c,,2743.431,2719.539,2693.308
diclofenac,1,1,1,tgfb,salicylate,a,,2596.911,2555.447,2514.566
diclofenac,1,1,1,tgfb,salicylate,b,,2699.984,1792.871,3794.833
diclofenac,1,1,1,tgfb,salicylate,c,,2476.711,2374.827,2340.797
diclofenac,2,,,,,,0,466.379,466.803,472.37
diclofenac,2,,,,,,25,513.491,518.006,520.741
diclofenac,2,,,,,,50,537.097,553.968,540.943
diclofenac,2,,,,,,100,604.339,599.643,603.704
