sample,condition,treatment,replicate,group
1,TGFβ,Veh,1,"TGFβ
Veh"
2,TGFβ,VB,1,"TGFβ
VB"
3,TGFβ,AZD,1,"TGFβ
AZD"
4,TGFβ,AZD/VB,1,"TGFβ
AZD/VB"
5,TGFβ,None,1,"TGFβ
None"
6,Ctl,Veh,1,"Ctl
Veh"
7,Ctl,VB,1,"Ctl
VB"
8,Ctl,AZD,1,"Ctl
AZD"
9,Ctl,AZD/VB,1,"Ctl
AZD/VB"
10,Ctl,None,1,"Ctl
None"
11,TGFβ,Veh,2,"TGFβ
Veh"
12,TGFβ,VB,2,"TGFβ
VB"
13,TGFβ,AZD,2,"TGFβ
AZD"
14,TGFβ,AZD/VB,2,"TGFβ
AZD/VB"
15,TGFβ,None,2,"TGFβ
None"
16,Ctl,Veh,2,"Ctl
Veh"
17,Ctl,VB,2,"Ctl
VB"
18,Ctl,AZD,2,"Ctl
AZD"
19,Ctl,AZD/VB,2,"Ctl
AZD/VB"
20,Ctl,None,2,"Ctl
None"
21,TGFβ,Veh,3,"TGFβ
Veh"
22,TGFβ,VB,3,"TGFβ
VB"
23,TGFβ,AZD,3,"TGFβ
AZD"
24,TGFβ,AZD/VB,3,"TGFβ
AZD/VB"
25,TGFβ,None,3,"TGFβ
None"
26,Ctl,Veh,3,"Ctl
Veh"
27,Ctl,VB,3,"Ctl
VB"
28,Ctl,AZD,3,"Ctl
AZD"
29,Ctl,AZD/VB,3,"Ctl
AZD/VB"
30,Ctl,None,3,"Ctl
None"
31,TGFβ,Veh,4,"TGFβ
Veh"
32,TGFβ,VB,4,"TGFβ
VB"
33,TGFβ,AZD,4,"TGFβ
AZD"
34,TGFβ,AZD/VB,4,"TGFβ
AZD/VB"
35,TGFβ,None,4,"TGFβ
None"
36,Ctl,Veh,4,"Ctl
Veh"
37,Ctl,VB,4,"Ctl
VB"
38,Ctl,AZD,4,"Ctl
AZD"
39,Ctl,AZD/VB,4,"Ctl
AZD/VB"
40,Ctl,None,4,"Ctl
None"
41,TGFβ,Veh,5,"TGFβ
Veh"
42,TGFβ,VB,5,"TGFβ
VB"
43,TGFβ,AZD,5,"TGFβ
AZD"
44,TGFβ,AZD/VB,5,"TGFβ
AZD/VB"
45,TGFβ,None,5,"TGFβ
None"
46,Ctl,Veh,5,"Ctl
Veh"
47,Ctl,VB,5,"Ctl
VB"
48,Ctl,AZD,5,"Ctl
AZD"
49,Ctl,AZD/VB,5,"Ctl
AZD/VB"
50,Ctl,None,5,"Ctl
None"
51,TGFβ,Veh,6,"TGFβ
Veh"
52,TGFβ,VB,6,"TGFβ
VB"
53,TGFβ,AZD,6,"TGFβ
AZD"
54,TGFβ,AZD/VB,6,"TGFβ
AZD/VB"
55,TGFβ,None,6,"TGFβ
None"
56,Ctl,Veh,6,"Ctl
Veh"
57,Ctl,VB,6,"Ctl
VB"
58,Ctl,AZD,6,"Ctl
AZD"
59,Ctl,AZD/VB,6,"Ctl
AZD/VB"
60,Ctl,None,6,"Ctl
None"
