,W0_1,W0_2,W0_3,W0_4,W1_1,W1_2,W1_3,W1_4,W2_1,W2_2,W2_3,W2_4,W3_1,W3_2,W3_3,W3_4,W4_1,W4_2,W4_3,W4_4,W5_1,W5_2,W5_3,W5_4,W6_1,W6_2,W6_3,W6_4,W7_1,W7_2,W7_3,W7_4
2HG M0,886091969.3,871106107.3,850671743.6,857063602.6,1025648207,982813156.2,1026570207,971157070.1,1123134795,1133574152,1075037182,1079762262,1202273034,1173598161,1155415629,1163765852,1308181417,1257215518,1234372540,1313249786,1377850909,1401961938,1425740944,1362065022,1455322573,1765733103,1440763225,1507744424,1467343435,1498933656,1621591729,1545684481
2HG M1,57071667.55,57275374.06,56441835.87,57725009.47,62659134.07,63655195.03,66313996.44,60705562.31,68069326.65,70637193.78,67409851.19,66506123.43,73743912.49,70573580.73,69890734.3,69669295.69,81737124.41,73283815.76,77628165.18,80140032.51,83325341.92,86559540.14,88557304.7,84259604.91,80763369.45,98056165.68,79560092.21,83528211.17,0,0,0,0
2OG M0,346121085.3,148983758.2,315717602.9,322217024.5,384087698,373121799.7,380801552.3,379232890.2,411679004.9,426126146.5,433392984.6,414083793.6,455365560.6,474976904.8,447563267.8,498456415.5,522934078,498927569.9,501487097.4,519017017.9,541492088.8,560841668.7,537209271.8,560687558.6,588636299.8,590875176.4,584586399.4,600876469.9,632879735.3,648089814.6,643420541.2,612822892.7
2OG M1,22812011.84,10200524.61,21856994.75,22161113.8,23595314.92,23888984.23,24069712.05,23719476.28,25977162.22,26855341.96,26423076.74,25767203.75,27450228.03,29812992.1,26555275.64,30572561.9,32007371.82,29569911.22,30060992.68,29682233.89,32660383.7,33466207.53,32692694.02,32689759.42,33647083.7,33536413.92,33367995.32,33302197.09,0,0,0,0
6PG M0,180240963.9,195738252.5,193973344.3,193349995.2,249036187.8,250352959.5,253640399.5,254240564.3,296620949.2,291607509.8,264061999.6,263134069.6,285041869.4,283612294.6,277022393.2,283776232.5,304140421.2,313424745.2,300754067.4,296833393.9,319400938,317938809.2,320953992.7,323106029.6,347160664.3,343091002.8,342866168.2,340479693.3,361137464.3,366465690.7,347614328.1,357603220.6
6PG M1,16022278.09,17374139.13,17235770.16,17132428.55,20033620.21,19952936.65,20227206.13,20246577.29,22552726.86,22396508.06,20203747.64,20064813.06,21420551.69,21469689.27,21007058.47,21144067.05,22575124.3,23256980.65,22587231.52,22311376.14,23881192.19,23555082.56,23975256.06,23942989.92,25714738.39,25346642.94,25108965.01,25115410.93,0,0,0,0
ALA M0,193213235.6,82696068.77,136125104,188334407.1,95121725.05,101669643.6,96140249.27,100454161.8,53273729.15,56410474.38,100428548,106841601.1,107817640.1,56052688.49,116458050.1,112223193.6,118874664.9,119600056.1,119161657.5,65539971.58,127874275.1,70826911.34,69532389.15,114668901.6,69840708.61,127836208.7,70401569.9,187332603.6,0,0,0,0
ALA M1,2202171.984,1711388.53,720950.547,1721903.547,796757.3218,954492.0908,911418.6051,851097.9104,1088201.511,984971.9366,1765089.544,981086.7719,676976.4915,788545.8537,2365300.76,2227449.289,981990.5939,981063.423,1116967.654,1219455.184,985199.9583,1109054.11,919152.486,808824.9455,0,0,0,0,0,0,0,0
ASP M0,183449112.5,143654548.1,190828502.7,191955260.7,194055591.1,217059562.2,202832538.6,229211097.2,243316893.3,250510164.9,137766564.4,210703684.8,243639847.1,235235044,182103859.1,233435838.8,183328685.3,244107805.6,251785453.7,255737724.5,197969889,275888228.8,265578493.3,257294585.2,279474770.1,271272141,275829962.9,274177056,0,0,0,0
ASP M1,9538859.422,7555962.642,9452204.353,9689305.027,9254289.693,10194282.42,10134323.38,10914759.62,11433914.58,11591035.2,6899471.247,10074823.42,10940160.81,11167665.7,8750541.042,11155200.83,9076861.953,11768205.16,12155363.67,12030847.04,9453209.299,13148429.68,12588569.89,12089000.58,0,0,0,0,0,0,0,0
