"file","Roi group","Roi tags","Roi name","16O mean","16O stddev","16O median","12C21H mean","12C21H stddev","12C21H median","12C15N mean","12C15N stddev","12C15N median","31P mean","31P stddev","31P median","32S mean","32S stddev","32S median","31P/32S mean","31P/32S stddev","31P/32S median"
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","background","null","1",725.0822861775436,86.55918914961737,710.0,4157.089987839481,275.1413336016284,4138.0,7.1260640453992705,3.519946296609385,7.0,0.19862180786380218,0.47682518000818347,0.0,2.2476692338873123,1.5226958445713838,2.0,826.7705200838569,2406.3762654102784,0.0
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","2",1108.5577651515152,104.13743414752498,1095.0,3915.556818181818,344.55433759476034,3870.0,66.3342803030303,9.316600841245686,66.0,18.330492424242426,6.633510943310009,18.0,149.25662878787878,21.85417967546857,148.0,1282.3534981120717,574.6088944276004,1208.286865234375
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","3",1086.0524193548388,75.621161020729,1089.0,3858.451612903226,206.3071824238197,3849.0,69.02016129032258,12.459635101256827,70.0,8.584677419354838,3.2545339126575175,9.0,129.08467741935485,22.16347268261475,128.0,673.9832009961528,264.12991739700186,651.2901611328125
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","4",973.2645011600928,84.24087621383003,967.0,3647.925754060325,246.75908420463767,3639.0,58.40835266821346,10.083157719958983,58.0,13.563805104408353,5.14216390963525,14.0,132.9953596287703,20.885401083457268,134.0,1029.1082227313047,414.1141637837723,984.8485107421875
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","5",1159.4613003095976,87.67182359779183,1154.0,4127.095975232198,329.12335104204055,4092.0,68.96284829721363,10.513456945989539,69.0,21.736842105263158,7.747696828464527,22.0,162.73993808049536,28.322354426223136,161.0,1386.0853882780755,587.1935650295162,1315.78955078125
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","6",1215.5433673469388,118.52435905716068,1210.0,4216.211734693878,415.1377222745425,4222.0,66.98724489795919,10.568366665463364,66.0,24.0484693877551,8.93341081856647,24.0,144.55867346938774,36.80190457480431,138.0,1842.4553181784493,917.2967522087167,1826.0869140625
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","7",1201.4142581888248,106.98715268097675,1188.0,4251.296724470135,320.66968506510267,4261.0,68.88246628131022,9.337704367950566,68.0,19.786127167630056,7.664194960533271,19.0,151.35067437379575,19.921476026472025,152.0,1357.0676169717012,631.8544744464417,1266.6666259765625
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","background","null","8",677.866898540889,115.30377588498234,689.0,4020.742534781133,524.0829226194787,4086.0,6.050305395317272,2.7156020859310672,6.0,0.07244655581947744,0.2772641801271614,0.0,1.9697997964031217,1.4822626731962367,2.0,351.3292635842263,1669.594688053654,0.0
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","9",560.4644351464435,80.45302671851965,555.0,1946.663179916318,276.70720613791576,1932.0,33.90794979079498,7.443138721455073,33.0,14.257322175732218,5.2199724033554356,14.0,80.93096234309624,16.189180443510452,81.0,1844.9064640380348,785.0854755578531,1764.7059326171875
"azd_alv_1_2023-01-20_hO1c9-5027-interleaved.nrrd","nuclei","airway","10",520.9929078014185,51.98535195465277,522.0,1864.613475177305,160.58743218724268,1854.0,67.45390070921985,11.13615200720037,67.0,10.078014184397164,4.016994010744896,10.0,92.28368794326241,13.509362110865471,91.0,1121.2410001822398,496.11789817740083,1086.95654296875
