"file","Roi group","Roi tags","Roi name","12C14N mean","12C14N stddev","12C14N median","area","12C22H mean","12C22H stddev","12C22H median","12C15N/12C14N mean","12C15N/12C14N stddev","12C15N/12C14N median","12C22H/12C21H mean","12C22H/12C21H stddev","12C22H/12C21H median"
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","background","null","1",416.4592622618565,125.94625563685716,365.0,2467.0,0.6141062018646128,0.7800818016495747,0.0,38.89087109204289,31.733430957015575,31.05590057373047,1.8943433549948245,2.406379496987587,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","2",2728.2017045454545,185.1166560262042,2721.0,1056.0,0.8589015151515151,0.966734046342577,1.0,55.05268178112579,14.69050811174615,53.80217742919922,2.83536500777259,3.1459763233118134,3.060443878173828
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","3",2215.6612903225805,239.2464346049964,2241.5,248.0,1.2459677419354838,1.1697883260231927,1.0,69.00060715213898,17.773223562058348,68.72673797607422,4.192105862402147,3.908327959147179,3.427006483078003
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","4",2391.2064965197214,247.7521108342235,2425.0,431.0,0.8329466357308585,0.9047319502464777,1.0,53.95409838727345,15.88791938134819,52.97010803222656,2.944008764147482,3.157179360912008,3.3145508766174316
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","5",2964.87306501548,254.32837991710585,2993.0,323.0,0.9164086687306502,0.9728344864679015,1.0,52.22654220415712,14.239258028819894,51.587303161621094,2.8424470306550016,3.001455083278183,2.9940121173858643
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","6",3008.6989795918366,290.8322060408155,3043.0,392.0,0.9872448979591837,1.0176652287843562,1.0,50.65005433802702,14.344390576712472,49.317832946777344,2.9958081506952947,3.051311797699069,2.9359962940216064
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","7",2905.863198458574,236.92980440303523,2884.0,519.0,0.9749518304431599,0.9791990795765457,1.0,52.41935936334276,14.08950830025875,51.83137512207031,2.928990668184725,2.9222579319109343,2.9120559692382812
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","background","null","8",356.28622327790976,70.07422423328734,346.0,11788.0,0.5797421106209705,0.7661079488744433,0.0,37.94771467292353,33.19247033931581,30.303030014038086,1.8337935847996614,2.4378557578630935,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","9",1642.9225941422594,202.4298731278467,1645.0,478.0,0.42887029288702927,0.6869273333751246,0.0,45.23742982832458,16.977510379318208,44.793060302734375,2.8874610737277875,4.687513256544848,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","10",1430.563829787234,144.53421753817696,1432.0,282.0,0.950354609929078,1.011156563655809,1.0,105.51511259958254,27.92752658262892,105.05622100830078,6.5973573999202,7.051219028325648,6.7431159019470215
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","11",1615.8484848484848,187.94263050012725,1617.0,561.0,0.4741532976827095,0.6942046101428383,0.0,53.75779299642525,19.316525453416375,52.0532112121582,2.654319192423965,3.8411659255369184,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","12",2976.708823529412,254.66990708333225,2975.5,340.0,0.9205882352941176,0.9938689371179522,1.0,52.48343885926639,13.891722953812431,52.09525680541992,2.7679941072183496,3.00410194141325,2.7975940704345703
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","background","null","13",270.398891966759,73.1938845655955,253.0,2166.0,0.39519852262234534,0.6153202154154949,0.0,39.0561968688049,39.00246652387485,37.453182220458984,1.8446534603476414,2.8914723738272623,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","background","null","14",353.7685858021241,35.420425173715984,351.0,5367.0,0.6280976336873486,0.7983026716600449,0.0,37.128138497219155,32.52870586668396,29.411766052246094,1.9222220065364053,2.448515620213396,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","15",1781.8424821002386,141.00179512769026,1774.0,419.0,0.5083532219570406,0.7066342552052981,0.0,50.981237119023724,18.113118199619052,47.9488525390625,2.827612435334053,3.914307231943472,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","16",1049.0666666666666,156.94442210816905,1045.0,420.0,0.30714285714285716,0.5556792300876173,0.0,49.82856581551688,22.685627000965873,46.78388214111328,2.9360030628385996,5.346718255712936,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","17",2348.6930022573365,207.11808471079783,2352.0,443.0,0.6884875846501128,0.8601421626707305,0.0,54.11684372731848,15.814693950969808,53.32239532470703,2.741870466796324,3.4243884198532184,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","18",2750.948598130841,218.83325312561325,2748.0,642.0,0.8551401869158879,0.9259038990300055,1.0,51.79078990722371,14.839692735665851,50.733028411865234,3.010540057565564,3.254724317982826,3.2894768714904785
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","19",2643.2762237762236,171.0213814304862,2629.5,286.0,0.8636363636363636,0.9763552311940894,1.0,49.94068543894308,15.006475858106553,48.32523727416992,3.0991611572412343,3.473731357767222,3.3766696453094482
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","20",2379.3172588832485,194.6655643355881,2387.0,788.0,0.7563451776649747,0.856411853704771,1.0,51.23374511747796,16.16770710492974,50.290199279785156,2.9746576127061988,3.4083015295898913,3.25679874420166
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","21",2664.6271186440677,172.0232441365142,2685.5,118.0,0.8983050847457628,1.016024013011828,1.0,54.790925971532275,14.720898177381818,54.74769592285156,2.983499153185699,3.352050067133172,3.076159954071045
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","22",2177.0581395348836,281.6581751241143,2207.0,430.0,0.9558139534883721,0.913713783993065,1.0,64.73480681264124,19.200220672465697,63.131324768066406,3.5022031745245292,3.31357556401504,3.594536304473877
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","background","null","23",311.24637430939225,50.12323859711572,314.5,5792.0,0.4642610497237569,0.6881840688395274,0.0,37.87463694926125,35.98485908935428,31.84713363647461,1.8488701650697883,2.7593986952163454,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","background","null","24",354.0995480640039,26.878803075427896,354.0,8187.0,0.6009527299377061,0.7819513458296926,0.0,38.58649743693906,32.95440971083786,29.585798263549805,1.8831657692089292,2.4528564038937666,0.0
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","25",3043.7247899159665,300.97278403791717,3029.5,476.0,0.8991596638655462,0.9348905524071239,1.0,50.310493014439814,13.707778852067216,49.52638244628906,2.8195748143837234,2.9147024391266805,2.973094940185547
"azd_alv_1_2023-01-20_hO1c9-5027.nrrd","nuclei","airway","26",2908.994082840237,198.19910251532514,2902.5,338.0,0.9319526627218935,1.0211922270161047,1.0,51.03190077832465,13.288120942842177,49.687255859375,3.137102773909033,3.4240160462150966,3.2409677505493164
