file,Roi group,Roi tags,Roi name,12C14N mean,12C14N stddev,12C14N median,area,12C22H mean,12C22H stddev,12C22H median,12C15N/12C14N mean,12C15N/12C14N stddev,12C15N/12C14N median,12C22H/12C21H mean,12C22H/12C21H stddev,12C22H/12C21H median
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,background,null,1,379.13548387096773,115.87157143543543,370.0,310.0,0.3741935483870968,0.6247162420889688,0.0,41.105564172806275,35.98309498462545,35.335689544677734,1.9814131152245307,3.319710295096788,0.0
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,nuclei,fibrosis,2,1423.6214285714286,79.26310506965162,1425.0,140.0,0.6714285714285714,0.73399328739464,1.0,69.38089595522199,24.35212243592296,68.73904418945312,3.6923374482563562,4.070213772173224,5.006265640258789
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,nuclei,fibrosis,3,1408.0144578313252,151.91187307702634,1411.0,415.0,0.4746987951807229,0.7445199752844639,0.0,54.47467627927482,18.242415109731358,52.91004943847656,2.461911248586264,3.84595188888317,0.0
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,nuclei,fibrosis,4,1516.4598540145985,110.52863415638853,1507.0,274.0,0.6204379562043796,0.8354015670249542,0.0,63.2082530599441,22.402040121774032,62.0767707824707,3.3401369996314503,4.497031307017473,0.0
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,nuclei,fibrosis,5,1465.25,121.3921591017753,1456.5,152.0,0.46710526315789475,0.6399271808520933,0.0,54.23874156098617,20.43155674314479,52.56243896484375,2.629001670762112,3.617443428342649,0.0
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,nuclei,fibrosis,6,982.8904593639576,79.97410051151007,989.0,283.0,0.3462897526501767,0.6016042508251845,0.0,52.92129726544707,23.46634896929412,51.17707443237305,2.618606803273986,4.531938034935187,0.0
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,nuclei,airway,7,1042.733695652174,110.36538154972132,1038.5,368.0,0.4157608695652174,0.6833731590726484,0.0,64.18007116214089,25.477641920705125,63.363014221191406,3.276081427283909,5.390966088318491,0.0
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,nuclei,airway,8,1493.1649746192893,130.72357133828035,1486.5,394.0,0.48984771573604063,0.7141952015456274,0.0,52.50113081326945,20.06168039060834,49.973419189453125,2.582183289648918,3.7532293803734715,0.0
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,lamella,null,9,695.2647058823529,37.3827936627546,697.5,34.0,1.2352941176470589,1.0167930431959211,1.0,50.363465168896845,28.344585117394992,55.4020881652832,10.56057224554174,8.528721892917224,8.621099472045898
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,lamella,null,10,775.1168831168832,43.091693553573705,772.0,77.0,1.2337662337662338,1.110904135047616,1.0,48.19847521843848,27.627974149718174,40.87193298339844,9.29666382306582,8.41856607989362,7.874015808105469
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,lamella,null,11,746.4545454545455,43.15854414435145,751.0,55.0,0.9818181818181818,1.0626819511466867,1.0,53.25853092887185,21.961921762109107,49.751243591308594,7.858849239349365,8.46261454806043,7.8125
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,lamella,null,12,710.6538461538462,41.736259830216994,703.0,26.0,1.0,0.9797958971132712,1.0,51.580269410060005,26.05376481836755,53.663978576660156,8.290677675834068,8.179382362708145,8.045099258422852
bleo_fib_1_2023-01-18_hO1c11-5029.nrrd,lamella,null,13,869.875,55.50582617284815,874.5,24.0,1.875,1.7523276445668041,1.5,48.5602498849233,21.798544220701217,46.43516540527344,13.748064955075582,12.596201571174042,10.794231414794922
