"file","Roi group","Roi tags","Roi name","12C14N mean","12C14N stddev","12C14N median","area","12C22H mean","12C22H stddev","12C22H median","12C15N/12C14N mean","12C15N/12C14N stddev","12C15N/12C14N median","12C22H/12C21H mean","12C22H/12C21H stddev","12C22H/12C21H median"
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","background","null","1",386.7173776662484,28.969850355455247,386.0,9564.0,0.6093684650773735,0.7892274137713633,0.0,37.373355542601324,31.333714700750857,27.322402954101562,1.943546127320732,2.5176234018092796,0.0
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","2",2931.8906832298135,279.80737061753,2933.0,805.0,0.9751552795031055,1.005892530577803,1.0,48.51230183713925,13.943225411264063,47.723934173583984,3.013563431271855,3.107822064982614,2.9958059787750244
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","3",2587.7427983539096,233.1492104414524,2572.5,486.0,0.691358024691358,0.834443704689715,0.0,46.6468627953235,13.771104748531629,46.392555236816406,2.664926200737188,3.2298604575469954,0.0
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","4",1447.953560371517,324.2254138013794,1363.0,323.0,0.541795665634675,0.735492733208339,0.0,49.314428953932534,18.0595361198944,47.3186149597168,3.148850962842581,4.27857643504175,0.0
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","5",3141.485507246377,284.2258573230354,3109.5,276.0,1.068840579710145,0.9829307364583589,1.0,48.83227208040763,12.67892841221025,47.17003631591797,3.056950847307841,2.805686546616504,2.8669726848602295
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","6",2726.793499043977,183.58937031463043,2729.0,523.0,0.9617590822179732,0.9740258731766558,1.0,50.46992968783552,15.784140768808012,49.53998565673828,3.085081113684018,3.1250085552871356,3.169572114944458
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","7",2769.003076923077,266.03579888202944,2797.0,325.0,3.8430769230769233,2.1766131544928906,4.0,54.25871121333196,15.602620492192854,54.132080078125,10.390802466319158,5.663360043582609,10.06289291381836
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","8",2810.3582554517134,460.07857227831283,2887.5,642.0,0.7679127725856698,0.9283362091314227,1.0,48.2361957425269,13.94642193327379,47.40091323852539,2.5953059099916356,3.1098376109466326,2.666872978210449
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","9",2696.9690594059407,193.66629095149978,2687.5,808.0,0.9641089108910891,0.9755112778965691,1.0,56.0922008504962,14.507132227517813,55.43970489501953,3.2518115256092335,3.2958667813077787,3.301419496536255
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","10",2685.0421052631577,179.25352993880125,2690.0,95.0,0.9789473684210527,1.0208355710680808,1.0,49.40492353941265,14.318084835943868,46.9083137512207,3.235501389754446,3.3748071390378103,3.1867430210113525
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","11",2243.1457085828342,185.14752152418055,2240.0,501.0,0.6586826347305389,0.8770800767762567,0.0,50.12005758571053,15.3394654018678,48.8454704284668,2.7610718704269317,3.630428896304684,0.0
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","12",2394.4163424124513,209.066792289288,2405.0,257.0,0.7431906614785992,0.8456011721919804,1.0,54.92737634265469,17.34413618110816,52.88461685180664,3.177191994069615,3.702678476346845,3.644315004348755
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","13",2160.4885620915034,235.2404380601842,2194.0,612.0,0.7091503267973857,0.8975587532296003,0.0,52.69989173552569,16.842905575071683,52.10681915283203,2.8700740882773803,3.6152148180002928,0.0
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","lamella","null","14",1239.4418604651162,250.76628298511454,1239.0,43.0,1.8837209302325582,1.2948488112808014,2.0,42.692201082096545,17.737144239133855,40.355125427246094,5.629270126653272,3.9557994550648026,5.58815336227417
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","lamella","null","15",1969.608695652174,117.25137685969437,2009.0,23.0,1.608695652173913,1.4377738611789157,1.0,48.37600633372431,13.71797574055363,47.9488525390625,5.224485521731169,4.548660682566896,3.5803794860839844
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","background","null","16",530.4866666666667,37.166584594472944,529.0,7200.0,0.5608333333333333,0.7522116300853212,0.0,37.021024308337104,26.775461340182645,36.4963493347168,1.9237184921238157,2.5815699642518815,0.0
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","17",2861.3781362007167,237.5481325629234,2860.0,558.0,1.2078853046594982,1.1112977070270698,1.0,64.1359455115479,16.12496993660355,63.4328727722168,3.6128392010179473,3.3509356240882053,2.97752046585083
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","18",2775.2664233576643,339.59867459197307,2835.5,548.0,0.8941605839416058,0.9501864667078942,1.0,48.02423494749696,13.802456505635616,46.92140197753906,2.8596826126105594,3.0086414010825155,3.035822629928589
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","19",3064.114967462039,203.91646278097377,3053.5,922.0,1.2776572668112798,1.2490690299503984,1.0,58.73763213498991,14.959279984232234,57.87238311767578,3.994100699197186,3.8156361204295255,3.238341808319092
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","20",3018.648535564854,195.79439304524468,3027.5,478.0,1.0523012552301256,1.0636873374362978,1.0,56.12255077681282,14.91122455118778,55.6174201965332,3.1588285807286347,3.2047897813875705,2.928257942199707
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","21",2474.6545454545453,291.2693272713391,2463.0,1210.0,0.8479338842975207,0.9363621397903206,1.0,50.65993759927671,15.545492334141645,49.39935302734375,2.957546691461043,3.244286184297958,3.252032995223999
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","22",2205.3459669582116,233.5208620892312,2220.0,1029.0,0.6472303206997084,0.8018367814824452,0.0,51.31621991835021,16.254127064910648,50.06258010864258,2.629316067672448,3.2557282197950097,0.0
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","23",2425.784876140808,354.96198727194155,2476.0,767.0,0.847457627118644,0.9402186723963855,1.0,49.428308828868644,14.867662430376816,48.520137786865234,2.9187443930913135,3.2305872600181025,3.23624587059021
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","24",2325.719587628866,491.52181009745897,2442.0,485.0,0.8515463917525773,0.9105798490978306,1.0,49.54162941568906,15.427332574548986,47.77070236206055,2.97614749338209,3.1990917604765596,3.2393910884857178
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","25",2200.0393063583815,498.96278142715045,2344.0,865.0,0.7780346820809249,0.8615921543644811,1.0,51.10178184399026,16.453604219310996,50.52467727661133,2.811603107893398,3.1037615610616243,3.3411293029785156
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","26",2553.1890547263683,265.20818697877894,2540.0,1407.0,0.997867803837953,1.025629461306607,1.0,51.85556781080147,14.479261180981249,51.020408630371094,3.179064660523068,3.240427046725583,3.154574155807495
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","airway","27",3145.9847908745246,198.5179048509871,3148.0,263.0,1.3041825095057034,1.184610927913722,1.0,58.75142468064457,14.608461581787731,58.31798553466797,3.7662309666550207,3.382893157570112,2.971768379211426
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","nuclei","AT2","28",3085.857938718663,318.09189112439265,3118.0,718.0,0.9526462395543176,0.9727027237370505,1.0,48.81658438387687,13.490403207776426,47.83108901977539,2.9253363463207873,2.9790715939230656,2.9700093269348145
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","lamella","null","29",2852.9166666666665,81.79556523891515,2850.5,24.0,5.375,2.601212092049798,5.5,44.67293667793274,11.996157722117157,44.820980072021484,14.96734967827797,7.038328575299361,15.631223678588867
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","lamella","null","30",3209.75,204.9248753701086,3150.5,12.0,6.25,2.527125567985025,6.0,42.753320376078285,10.384386546051834,42.80062484741211,15.738532463709513,6.324596229810719,15.106416702270508
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","lamella","null","31",2940.0,142.7243332235875,2996.5,18.0,4.222222222222222,2.289504327438469,4.0,50.15094227261014,18.48637424276287,45.961341857910156,12.154921531677246,6.539752991785346,11.80117130279541
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","lamella","null","32",3172.0384615384614,178.3074829095472,3213.0,26.0,6.230769230769231,2.732144832291177,6.0,49.04618916144738,13.375074930659427,49.24726867675781,15.689669159742502,6.987595124594662,14.742271423339844
"control_alv_1_2023-01-23_hO1c6-5026.nrrd","lamella","null","33",3333.6666666666665,135.6185125725133,3307.0,15.0,7.466666666666667,2.445598573141631,7.0,57.58904139200846,17.600018822012235,61.135372161865234,19.47984174092611,6.459845628361996,18.267223358154297
