experiment,sample,condition,treatment,nucleotide,conc,a,b,c
2021-11-22,,,,,0,-699880,522532,177348
2021-11-22,,,,,0.0625,36036436,34241524,34184748
2021-11-22,,,,,0.125,72056092,71583908,73257132
2021-11-22,,,,,0.25,144129308,137302540,141670812
2021-11-22,,,,,0.5,282273516,271115564,277133420
2021-11-22,,,,,1,506908908,501047980,516139052
2021-11-22,1,control,DMSO,NAD,,184076876,183212540,186658780
2021-11-22,2,control,AZD3965,NAD,,172698412,176517260,185830508
2021-11-22,3,control,VB124,NAD,,245892716,254517964,257349132
2021-11-22,4,control,AZD/VB,NAD,,232734316,224045548,239984652
2021-11-22,5,tgfb,DMSO,NAD,,237865228,244015244,231218316
2021-11-22,6,tgfb,AZD3965,NAD,,248875820,237747916,275146764
2021-11-22,7,tgfb,VB124,NAD,,302860940,282338860,295128364
2021-11-22,8,tgfb,AZD/VB,NAD,,270648108,257887500,270558764
2021-11-22,1,control,DMSO,NADH,,24348736,22052732,23980220
2021-11-22,2,control,AZD3965,NADH,,24386124,23601292,23861964
2021-11-22,3,control,VB124,NADH,,39121684,38142620,37497636
2021-11-22,4,control,AZD/VB,NADH,,40257932,42748764,42416612
2021-11-22,5,tgfb,DMSO,NADH,,24353280,18675820,25414820
2021-11-22,6,tgfb,AZD3965,NADH,,28402972,26278076,26038268
2021-11-22,7,tgfb,VB124,NADH,,41098268,42662156,42153996
2021-11-22,8,tgfb,AZD/VB,NADH,,53778972,55770884,48017020
2021-11-28,,,,,0,-134024,-520328,654352
2021-11-28,,,,,0.015625,12038968,-701028,5854052
2021-11-28,,,,,0.03125,13082672,12731796,12317796
2021-11-28,,,,,0.0625,31897684,27524644,27772956
2021-11-28,,,,,0.125,65390404,63985172,64986148
2021-11-28,,,,,0.25,133440620,135654764,132689628
2021-11-28,,,,,0.5,279987868,265397916,265365948
2021-11-28,,,,,1,556124924,550463036,587945852
2021-11-28,1,control,DMSO,NAD,,250411356,242272444,244986876
2021-11-28,2,control,AZD3965,NAD,,242640060,233854268,257403836
2021-11-28,3,control,VB124,NAD,,264074076,315421660,252652700
2021-11-28,4,control,AZD/VB,NAD,,265598300,267319868,288568540
2021-11-28,5,tgfb,DMSO,NAD,,315738332,317563708,320566108
2021-11-28,6,tgfb,AZD3965,NAD,,303918844,306106396,303860572
2021-11-28,7,tgfb,VB124,NAD,,342369788,352365084,347987228
2021-11-28,8,tgfb,AZD/VB,NAD,,355810012,352954524,370075708
