experiment,sample,condition,treatment,conc,a,b,c
2024-01-11,,,,100,6078812,6225040,6118362
2024-01-11,,,,50,3064166,3047578,3171054
2024-01-11,,,,25,1520616,1618242,1557569
2024-01-11,,,,12.5,788100,811209,828867
2024-01-11,,,,6.25,427414,438096,434415
2024-01-11,,,,3.125,228588,250715,242572
2024-01-11,,,,1.5625,137054,136445,136627
2024-01-11,,,,0.78125,25194,24670,28591
2024-01-11,1,control,DMSO,,2364576,2495567,2713540
2024-01-11,2,control,AZD3965,,2101069,2332439,2474155
2024-01-11,3,control,VB124,,2474561,2484529,2645770
2024-01-11,4,control,AZD/VB,,2717132,2700210,2942008
2024-01-11,5,tgfb,DMSO,,2189028,2402312,2408924
2024-01-11,6,tgfb,AZD3965,,2716788,2902124,2829437
2024-01-11,7,tgfb,VB124,,2652234,2921522,3093608
2024-01-11,8,tgfb,AZD/VB,,2702120,2784418,2803447
2024-01-19,,,,100,6572072,6538997,6567116
2024-01-19,,,,50,3607711,3789413,3802006
2024-01-19,,,,25,1969214,2013715,2091669
2024-01-19,,,,12.5,1004779,1038769,1054024
2024-01-19,,,,6.25,531853,524728,522056
2024-01-19,,,,3.125,272217,286172,277889
2024-01-19,,,,1.5625,155676,157408,157828
2024-01-19,,,,0.78125,23392,23165,25146
2024-01-19,1,control,DMSO,,3017392,1854048,1683457
2024-01-19,2,control,AZD3965,,2843469,1519952,1606930
2024-01-19,3,control,VB124,,3125230,1514827,1569778
2024-01-19,4,control,AZD/VB,,2680868,1565866,1607816
2024-01-19,5,tgfb,DMSO,,2786590,1809323,1832605
2024-01-19,6,tgfb,AZD3965,,2630260,1801081,1697885
2024-01-19,7,tgfb,VB124,,2888478,1710679,1642334
2024-01-19,8,tgfb,AZD/VB,,2472990,1636028,1575343
2024-02-05,,,,100,5847580,6387956,6340987
2024-02-05,,,,50,3243035,3226772,2906416
2024-02-05,,,,25,1526673,1657026,1624930
2024-02-05,,,,12.5,857761,780317,667432
2024-02-05,,,,6.25,434191,399246,413008
2024-02-05,,,,3.125,221582,234466,232318
2024-02-05,,,,1.5625,131234,130559,128965
2024-02-05,,,,0.78125,79392,79053,80029
2024-02-05,1,control,DMSO,,944009,1021722,982600
2024-02-05,2,control,AZD3965,,874551,876426,906100
2024-02-05,3,control,VB124,,1048333,1149363,1052053
2024-02-05,4,control,AZD/VB,,728251,833312,1066669
2024-02-05,5,tgfb,DMSO,,1374144,1305973,1345379
2024-02-05,6,tgfb,AZD3965,,1371056,1532346,1670447
2024-02-05,7,tgfb,VB124,,1101684,1010868,1123257
2024-02-05,8,tgfb,AZD/VB,,910322,1522758,1131492
2024-02-06,,,,100,5847580,6387956,6340987
2024-02-06,,,,50,3243035,3226772,2906416
2024-02-06,,,,25,1526673,1657026,1624930
2024-02-06,,,,12.5,857761,780317,667432
2024-02-06,,,,6.25,434191,399246,413008
2024-02-06,,,,3.125,221582,234466,232318
2024-02-06,,,,1.5625,131234,130559,128965
2024-02-06,,,,0.78125,79392,79053,80029
2024-02-06,1,control,DMSO,,944009,1021722,982600
2024-02-06,2,control,AZD3965,,874551,876426,906100
2024-02-06,3,control,VB124,,1048333,1149363,1052053
2024-02-06,4,control,AZD/VB,,728251,833312,1066669
2024-02-06,5,tgfb,DMSO,,1374144,1305973,1345379
2024-02-06,6,tgfb,AZD3965,,1371056,1532346,1670447
2024-02-06,7,tgfb,VB124,,1101684,1010868,1123257
2024-02-06,8,tgfb,AZD/VB,,910322,1522758,1131492
