experiment,sample,condition,treatment,nucleotide,conc,a,b,c
2024-01-11,,,,,0.125,7948,8439,7373
2024-01-11,,,,,0.0625,4830,4868,4417
2024-01-11,,,,,0.03125,2828,2833,2525
2024-01-11,,,,,0.015625,1590,1459,1438
2024-01-11,,,,,0.0078125,971,936,860
2024-01-11,,,,,0,543,535,456
2024-01-11,1,control,DMSO,NADP,,1636,1680,1886
2024-01-11,2,control,AZD3965,NADP,,1761,1761,1871
2024-01-11,3,control,VB124,NADP,,1793,1898,1531
2024-01-11,4,control,AZD/VB,NADP,,1970,1915,1903
2024-01-11,5,tgfb,DMSO,NADP,,1921,1973,1764
2024-01-11,6,tgfb,AZD3965,NADP,,2014,1962,2101
2024-01-11,7,tgfb,VB124,NADP,,2560,2566,2546
2024-01-11,8,tgfb,AZD/VB,NADP,,2482,2293,2543
2024-01-11,1,control,DMSO,NADPH,,5056,5652,5205
2024-01-11,2,control,AZD3965,NADPH,,5309,5518,4222
2024-01-11,3,control,VB124,NADPH,,6408,6533,6230
2024-01-11,4,control,AZD/VB,NADPH,,6233,6021,6036
2024-01-11,5,tgfb,DMSO,NADPH,,5806,5434,4963
2024-01-11,6,tgfb,AZD3965,NADPH,,5065,5016,5893
2024-01-11,7,tgfb,VB124,NADPH,,5934,6797,7079
2024-01-11,8,tgfb,AZD/VB,NADPH,,6504,6507,6899
2024-01-19,,,,,0.125,7948,8439,7373
2024-01-19,,,,,0.0625,4830,4868,4417
2024-01-19,,,,,0.03125,2828,2833,2525
2024-01-19,,,,,0.015625,1590,1459,1438
2024-01-19,,,,,0.0078125,971,936,860
2024-01-19,,,,,0,543,535,456
2024-01-19,1,control,DMSO,NADP,,1619,1616,1648
2024-01-19,2,control,AZD3965,NADP,,1604,1488,1703
2024-01-19,3,control,VB124,NADP,,1630,1709,1703
2024-01-19,4,control,AZD/VB,NADP,,1726,1595,1816
2024-01-19,5,tgfb,DMSO,NADP,,1680,1598,1715
2024-01-19,6,tgfb,AZD3965,NADP,,1808,1610,1665
2024-01-19,7,tgfb,VB124,NADP,,1927,2023,2066
2024-01-19,8,tgfb,AZD/VB,NADP,,1790,1717,1839
2024-01-19,1,control,DMSO,NADPH,,4455,4516,4478
2024-01-19,2,control,AZD3965,NADPH,,4310,4342,4342
2024-01-19,3,control,VB124,NADPH,,4684,4836,4870
2024-01-19,4,control,AZD/VB,NADPH,,4594,4888,4626
2024-01-19,5,tgfb,DMSO,NADPH,,4873,4510,4847
2024-01-19,6,tgfb,AZD3965,NADPH,,4644,5115,4301
2024-01-19,7,tgfb,VB124,NADPH,,4763,4859,4676
2024-01-19,8,tgfb,AZD/VB,NADPH,,5022,4937,5228
2024-02-05,,,,,0.125,7948,8439,7373
2024-02-05,,,,,0.0625,4830,4868,4417
2024-02-05,,,,,0.03125,2828,2833,2525
2024-02-05,,,,,0.015625,1590,1459,1438
2024-02-05,,,,,0.0078125,971,936,860
2024-02-05,,,,,0,543,535,456
2024-02-05,1,control,DMSO,NADP,,1470,1502,1436
2024-02-05,2,control,AZD3965,NADP,,1456,1581,1531
2024-02-05,3,control,VB124,NADP,,1715,1802,1747
2024-02-05,4,control,AZD/VB,NADP,,1729,1700,1627
2024-02-05,5,tgfb,DMSO,NADP,,1744,1607,1677
2024-02-05,6,tgfb,AZD3965,NADP,,1729,1802,1584
2024-02-05,7,tgfb,VB124,NADP,,1935,1956,2066
2024-02-05,8,tgfb,AZD/VB,NADP,,1784,1744,1857
2024-02-05,1,control,DMSO,NADPH,,3124,3380,3330
2024-02-05,2,control,AZD3965,NADPH,,3493,3569,3322
2024-02-05,3,control,VB124,NADPH,,3824,4315,4376
2024-02-05,4,control,AZD/VB,NADPH,,3842,3769,4170
2024-02-05,5,tgfb,DMSO,NADPH,,3978,4176,4417
2024-02-05,6,tgfb,AZD3965,NADPH,,3935,4077,4127
2024-02-05,7,tgfb,VB124,NADPH,,4278,4225,4304
2024-02-05,8,tgfb,AZD/VB,NADPH,,3760,4045,3906
2024-02-06,,,,,0.125,7948,8439,7373
2024-02-06,,,,,0.0625,4830,4868,4417
2024-02-06,,,,,0.03125,2828,2833,2525
2024-02-06,,,,,0.015625,1590,1459,1438
2024-02-06,,,,,0.0078125,971,936,860
2024-02-06,,,,,0,543,535,456
2024-02-06,1,control,DMSO,NADP,,1592,1584,1688
2024-02-06,2,control,AZD3965,NADP,,1741,1668,1497
2024-02-06,3,control,VB124,NADP,,2020,1901,1848
2024-02-06,4,control,AZD/VB,NADP,,1822,1883,1709
2024-02-06,5,tgfb,DMSO,NADP,,1994,1953,1738
2024-02-06,6,tgfb,AZD3965,NADP,,2188,2180,1996
2024-02-06,7,tgfb,VB124,NADP,,2551,2598,2755
2024-02-06,8,tgfb,AZD/VB,NADP,,2421,2246,2159
2024-02-06,1,control,DMSO,NADPH,,3304,3699,3566
2024-02-06,2,control,AZD3965,NADPH,,3243,3566,3484
2024-02-06,3,control,VB124,NADPH,,3938,4167,4196
2024-02-06,4,control,AZD/VB,NADPH,,3595,3859,4289
2024-02-06,5,tgfb,DMSO,NADPH,,4289,4493,4327
2024-02-06,6,tgfb,AZD3965,NADPH,,4292,4336,4103
2024-02-06,7,tgfb,VB124,NADPH,,5001,5321,5149
2024-02-06,8,tgfb,AZD/VB,NADPH,,5158,5385,5472
