experiment,assay,batch,trial,condition,treatment,well,conc,a,b,c
diclofenac,1,,,,,,0.78125,38.591,38.591,40.665
diclofenac,1,,,,,,1.5625,59.785,62.211,62.657
diclofenac,1,,,,,,3.125,99.63,100.417,104.658
diclofenac,1,,,,,,6.25,173.774,183.542,180.371
diclofenac,1,,,,,,12.5,310.982,329.412,326.879
diclofenac,1,,,,,,25,615.429,605.715,617.88
diclofenac,1,,,,,,50,1150.787,1154.726,1071.586
diclofenac,1,,,,,,100,2282.801,2307.781,2199.712
diclofenac,1,1,1,control,DMSO,a,,294.08,247.295,254.45
diclofenac,1,1,1,control,DMSO,b,,237.584,251.54,268.642
diclofenac,1,1,1,control,DMSO,c,,249.048,228.87,316.642
diclofenac,1,1,1,control,diclofenac,a,,299.096,275.842,388.066
diclofenac,1,1,1,control,diclofenac,b,,477.482,396.66,919.446
diclofenac,1,1,1,control,diclofenac,c,,386.238,447.702,1769.562
diclofenac,1,1,1,control,ketoprofen,a,,355.671,1508.742,348.197
diclofenac,1,1,1,control,ketoprofen,b,,303.571,322.99,351.993
diclofenac,1,1,1,control,ketoprofen,c,,257.125,238.682,276.824
diclofenac,1,1,1,control,salicylate,a,,305.687,270.914,250.37
diclofenac,1,1,1,control,salicylate,b,,332.138,602.393,295.137
diclofenac,1,1,1,control,salicylate,c,,385.963,300.48,303.486
diclofenac,1,1,1,tgfb,DMSO,a,,344.292,1712.879,257.643
diclofenac,1,1,1,tgfb,DMSO,b,,287.851,376.15,266.034
diclofenac,1,1,1,tgfb,DMSO,c,,327.513,305.697,367.425
diclofenac,1,1,1,tgfb,diclofenac,a,,1816.516,843.514,1109.206
diclofenac,1,1,1,tgfb,diclofenac,b,,771.556,2264.452,602.238
diclofenac,1,1,1,tgfb,diclofenac,c,,425.958,522.754,583.699
diclofenac,1,1,1,tgfb,ketoprofen,a,,354.292,340.426,395.532
diclofenac,1,1,1,tgfb,ketoprofen,b,,270.61,329.907,393.142
diclofenac,1,1,1,tgfb,ketoprofen,c,,346.928,238.066,333.099
diclofenac,1,1,1,tgfb,salicylate,a,,337.351,536.497,349.365
diclofenac,1,1,1,tgfb,salicylate,b,,487.777,331.518,393.741
diclofenac,1,1,1,tgfb,salicylate,c,,549.823,1090.194,362.058
diclofenac,2,,,,,,0.78125,37.043,38.468,38.149
diclofenac,2,,,,,,1.5625,58.816,60.512,57.419
diclofenac,2,,,,,,3.125,98.375,98.893,97.185
diclofenac,2,,,,,,6.25,176.195,176.237,173.51
diclofenac,2,,,,,,12.5,330.245,314.811,318.545
diclofenac,2,,,,,,25,573.187,574.121,569.689
diclofenac,2,,,,,,50,1120.697,1154.684,1139.837
diclofenac,2,,,,,,100,2204.556,2234.303,2289.019
diclofenac,2,1,2,control,DMSO,a,,793.524,890.594,821.881
diclofenac,2,1,2,control,DMSO,b,,795.814,918.119,847.451
diclofenac,2,1,2,control,DMSO,c,,784.182,739.968,854.96
diclofenac,2,1,2,control,diclofenac,a,,773.799,785.337,773.956
diclofenac,2,1,2,control,diclofenac,b,,886.541,749.226,793.025
diclofenac,2,1,2,control,diclofenac,c,,688.641,734.059,718.13
diclofenac,2,1,2,control,ketoprofen,a,,822.679,961.968,873.123
diclofenac,2,1,2,control,ketoprofen,b,,913.248,906.503,854.354
diclofenac,2,1,2,control,ketoprofen,c,,858.504,887.563,875.103
diclofenac,2,1,2,control,salicylate,a,,797.429,823.662,818.496
diclofenac,2,1,2,control,salicylate,b,,958.842,799.594,801.971
diclofenac,2,1,2,control,salicylate,c,,861.562,863.846,808.337
diclofenac,2,1,2,tgfb,DMSO,a,,860.758,1129.11,940.833
diclofenac,2,1,2,tgfb,DMSO,b,,1050.614,986.597,1079.327
diclofenac,2,1,2,tgfb,DMSO,c,,940.349,989.447,850.347
diclofenac,2,1,2,tgfb,diclofenac,a,,907.032,887.155,911.855
diclofenac,2,1,2,tgfb,diclofenac,b,,729.587,634.407,645.008
diclofenac,2,1,2,tgfb,diclofenac,c,,744.743,672.45,810.069
diclofenac,2,1,2,tgfb,ketoprofen,a,,737.635,696.078,701.545
diclofenac,2,1,2,tgfb,ketoprofen,b,,905.255,830.064,753.668
diclofenac,2,1,2,tgfb,ketoprofen,c,,1023.847,903.704,972.348
diclofenac,2,1,2,tgfb,salicylate,a,,1111.41,986.764,874.563
diclofenac,2,1,2,tgfb,salicylate,b,,898.309,570.622,853.341
diclofenac,2,1,2,tgfb,salicylate,c,,1063.464,914.327,836.361
diclofenac,3,,,,,,0.78125,34.735,34.303,36.892
diclofenac,3,,,,,,1.5625,56.532,55.812,56.934
diclofenac,3,,,,,,3.125,96.955,95.943,95.622
diclofenac,3,,,,,,6.25,179.764,163.947,174.106
diclofenac,3,,,,,,12.5,317.347,300.883,333.991
diclofenac,3,,,,,,25,633.905,630.222,636.684
diclofenac,3,,,,,,50,1140.603,1167.878,1203.031
diclofenac,3,,,,,,100,2391.76,2452.962,2361.199
diclofenac,3,1,3,control,DMSO,a,,679.072,556.467,468.38
diclofenac,3,1,3,control,DMSO,b,,644.778,664.928,742.039
diclofenac,3,1,3,control,DMSO,c,,603.674,825.812,994.106
diclofenac,3,1,3,control,diclofenac,a,,542.895,481.068,488.046
diclofenac,3,1,3,control,diclofenac,b,,597.29,597.901,707.16
diclofenac,3,1,3,control,diclofenac,c,,669.271,580.466,761.503
diclofenac,3,1,3,control,ketoprofen,a,,582.793,648.942,883.234
diclofenac,3,1,3,control,ketoprofen,b,,701.819,638.298,437.62
diclofenac,3,1,3,control,ketoprofen,c,,661.244,577.573,571.592
diclofenac,3,1,3,control,salicylate,a,,771.353,767.489,614.11
diclofenac,3,1,3,control,salicylate,b,,768.877,738.594,770.545
diclofenac,3,1,3,control,salicylate,c,,661.419,597.046,581.449
diclofenac,3,1,3,tgfb,DMSO,a,,607.245,480.61,576.949
diclofenac,3,1,3,tgfb,DMSO,b,,640.899,596.805,535.333
diclofenac,3,1,3,tgfb,DMSO,c,,701.563,646.287,832.402
diclofenac,3,1,3,tgfb,diclofenac,a,,697.054,639.647,545.715
diclofenac,3,1,3,tgfb,diclofenac,b,,966.867,622.97,685.655
diclofenac,3,1,3,tgfb,diclofenac,c,,671.249,661.321,871.452
diclofenac,3,1,3,tgfb,ketoprofen,a,,798.716,793.922,562.631
diclofenac,3,1,3,tgfb,ketoprofen,b,,650.369,629.224,489.477
diclofenac,3,1,3,tgfb,ketoprofen,c,,691.101,656.725,508.814
diclofenac,3,1,3,tgfb,salicylate,a,,610.507,614.036,597.074
diclofenac,3,1,3,tgfb,salicylate,b,,650.447,618.127,681.789
diclofenac,3,1,3,tgfb,salicylate,c,,581.479,518.22,615.418
diclofenac,4,,,,,,0.78125,43.482,42.667,41.773
diclofenac,4,,,,,,1.5625,65.648,68.522,65.602
diclofenac,4,,,,,,3.125,112.532,114.018,111.968
diclofenac,4,,,,,,6.25,215.113,215.568,210.135
diclofenac,4,,,,,,12.5,390.837,357.702,367.197
diclofenac,4,,,,,,25,726.452,794.727,749.181
diclofenac,4,,,,,,50,1455.727,1596.57,1513.402
diclofenac,4,,,,,,100,2838.212,2897.916,2612.458
diclofenac,4,1,4,control,DMSO,a,,575.346,549.551,595.986
diclofenac,4,1,4,control,DMSO,b,,569.13,550.491,1178.421
diclofenac,4,1,4,control,DMSO,c,,636.389,562.89,604.12
diclofenac,4,1,4,control,diclofenac,a,,538.533,607.97,782.188
diclofenac,4,1,4,control,diclofenac,b,,724.616,650.008,895.524
diclofenac,4,1,4,control,diclofenac,c,,610.212,577.196,791.641
diclofenac,4,1,4,control,ketoprofen,a,,495,574.189,1426.272
diclofenac,4,1,4,control,ketoprofen,b,,402.51,444.382,1144.417
diclofenac,4,1,4,control,ketoprofen,c,,352.732,344.521,364.196
diclofenac,4,1,4,control,salicylate,a,,428.237,493.093,312.532
diclofenac,4,1,4,control,salicylate,b,,330.384,402.815,365.331
diclofenac,4,1,4,control,salicylate,c,,348.533,423.749,509.361
diclofenac,4,1,4,tgfb,DMSO,a,,561.146,605.671,568.035
diclofenac,4,1,4,tgfb,DMSO,b,,578.121,734.443,623.34
diclofenac,4,1,4,tgfb,DMSO,c,,374.397,408.798,1424.765
diclofenac,4,1,4,tgfb,diclofenac,a,,580.764,571.875,618.418
diclofenac,4,1,4,tgfb,diclofenac,b,,534.92,514.029,519.432
diclofenac,4,1,4,tgfb,diclofenac,c,,537.077,439.395,530.363
diclofenac,4,1,4,tgfb,ketoprofen,a,,470.491,551.121,551.007
diclofenac,4,1,4,tgfb,ketoprofen,b,,367.702,604.415,1376.539
diclofenac,4,1,4,tgfb,ketoprofen,c,,456.608,471.537,490.93
diclofenac,4,1,4,tgfb,salicylate,a,,637.387,336.42,1347.084
diclofenac,4,1,4,tgfb,salicylate,b,,396.174,524.302,1413.406
diclofenac,4,1,4,tgfb,salicylate,c,,440.26,425.449,340.073
diclofenac,5,,,,,,0.78125,43.583,42.398,42.377
