age,idx,group,ashcroft,sma,Penh,lactate
young,1,Veh,0,0.00598,0.420507127,
young,2,Veh,0.2,0.00747,0.566496421,
young,3,Veh,0.2,0.00709,0.540025886,
young,4,Veh,0.4,0.00880,0.622723687,
young,5,Veh,0.2,0.00425,0.696802183,
young,6,Veh,0.2,0.00928,0.656695195,
young,7,Veh,0.4,0.00675,0.584957288,
young,8,Veh,0.6,0.00744,0.602083236,
young,9,Veh,0.2,0.00654,0.589602986,
young,10,Veh,0,0.00917,0.519603474,
young,1,Bleo,2.8,0.11995,0.732596817,
young,2,Bleo,4.6,0.02195,3.287660748,
young,3,Bleo,3,0.04038,0.968646459,
young,4,Bleo,4.8,0.10141,2.104322377,
young,5,Bleo,3.4,0.06540,0.710681654,
young,6,Bleo,3.2,0.05017,0.775399781,
young,7,Bleo,4.4,0.08876,2.051911394,
young,8,Bleo,4.6,0.11305,0.715618651,
young,9,Bleo,4.4,0.10297,1.933567567,
young,10,Bleo,4,0.09497,,
young,1,VB253,3.8,0.00653,0.728832287,
young,2,VB253,1,0.00990,0.545493345,
young,3,VB253,2.6,0.00661,0.614809861,
young,4,VB253,3.6,0.01492,0.66845836,
young,5,VB253,3.4,0.01436,0.631750824,
young,6,VB253,2.6,0.01348,0.806469869,
young,7,VB253,1.8,0.00448,0.669136453,
young,8,VB253,1.6,0.02299,0.756597515,
young,9,VB253,1.6,0.00482,0.563662302,
young,10,VB253,1,0.01340,,
young,1,Pirfenidone,2.4,0.03658,1.559512012,
young,2,Pirfenidone,2,0.00747,0.536222153,
young,3,Pirfenidone,3.6,0.00522,3.182907311,
young,4,Pirfenidone,4.2,0.03614,0.741863861,
young,5,Pirfenidone,4.8,0.00668,1.289502359,
young,6,Pirfenidone,4.6,0.02082,0.692783811,
young,7,Pirfenidone,1.4,0.01390,0.601881195,
young,8,Pirfenidone,3.2,0.04475,0.901450378,
young,9,Pirfenidone,1.2,0.02085,0.496268353,
young,10,Pirfenidone,2.2,0.03858,0.622608557,
young,1,Nintedanib,,,2.876769812,
young,2,Nintedanib,,,1.924463379,
young,3,Nintedanib,,,0.540410979,
young,4,Nintedanib,,,0.765536488,
young,5,Nintedanib,,,0.725374196,
young,6,Nintedanib,,,0.885699912,
young,7,Nintedanib,,,0.933300054,
young,8,Nintedanib,,,0.809546393,
young,9,Nintedanib,,,0.888852248,
young,10,Nintedanib,,,0.745621977,
old,1,Veh,0.4,0.0313081,,42.053
old,2,Veh,0.2,0.0274827,,47.735
old,3,Veh,0.2,0.0298333,,57.613
old,4,Veh,0.2,0.0239704,,78.322
old,5,Veh,0,0.0265260,,41.631
old,6,Veh,0.2,0.0345190,,46.278
old,7,Veh,0.2,0.0261117,,41.208
old,8,Veh,0,0.0202243,,33.571
old,9,Veh,0,0.0235530,,40.086
old,10,Veh,0.2,0.0204780,,54.725
old,1,Bleo,2.6,0.0636033,,49.514
old,2,Bleo,4,0.1085612,,87.809
old,3,Bleo,3.4,0.0649137,,90.496
old,4,Bleo,2.6,0.0994938,,84.217
old,5,Bleo,3.8,0.0459667,,77.333
old,6,Bleo,4.6,0.1156092,,61.313
old,7,Bleo,3.8,0.0581668,,81.495
old,8,Bleo,3.8,0.0634011,,48.721
old,9,Bleo,2.4,0.1021741,,70.248
old,10,Bleo,2.8,0.1028464,,86.159
old,1,Nintedanib,2.4,0.0535235,,60.468
old,2,Nintedanib,3,0.0284927,,56.260
old,3,Nintedanib,2.2,0.0856016,,42.997
old,4,Nintedanib,1.6,0.0816449,,78.708
old,5,Nintedanib,1.4,0.0318752,,30.750
old,6,Nintedanib,2.6,0.0760864,,70.843
old,7,Nintedanib,2,0.0305484,,36.504
old,8,Nintedanib,4,0.0451406,,67.842
old,9,Nintedanib,1.6,0.0274364,,40.509
old,10,Nintedanib,4,0.0314916,,67.992
old,1,Pirfenidone,2.8,0.0303421,,45.937
old,2,Pirfenidone,2.2,0.0321556,,50.955
old,3,Pirfenidone,1.8,0.0457866,,66.537
old,4,Pirfenidone,3.2,0.0209231,,55.514
old,5,Pirfenidone,3.4,0.0285218,,67.021
old,6,Pirfenidone,3,0.0265749,,57.895
old,7,Pirfenidone,3.2,0.0233929,,71.842
old,8,Pirfenidone,2.6,0.0414382,,43.429
old,9,Pirfenidone,2.4,0.0393099,,32.923
old,10,Pirfenidone,2.2,0.0213664,,39.184
old,1,VB253,2,0.0407985,,46.394
old,2,VB253,3.8,0.0463030,,64.941
old,3,VB253,2.6,0.0319247,,65.904
old,4,VB253,2.4,0.0398951,,41.036
old,5,VB253,2.6,0.0227721,,64.096
old,6,VB253,2.8,0.0211892,,52.442
old,7,VB253,4.2,0.0187805,,56.562
old,8,VB253,2.2,0.0378579,,34.903
old,9,VB253,1.8,0.0215719,,52.296
old,10,VB253,1.8,0.0393174,,67.645
